name,tier,Predicted Tier
Cold War,Mediocre,Mediocre
Half-Life 2: Update,Essential,Essential
Spacebase DF-9,Mediocre,Good
Velvet Assassin,Mediocre,Mediocre
Battleborn,Mediocre,Good
Streets of Rage 4,Essential,Good
Four Last Things,Essential,Mediocre
AquaNox 2: Revelation,Mediocre,Mediocre
Croixleur Sigma,Mediocre,Great
Owlboy,Essential,Good
The Movies,Essential,Essential
Cossacks: Art of War,Good,Good
LEGO Star Wars - The Complete Saga,Great,Essential
Trials Rising,Great,Great
Wargame: Airland Battle,Great,Great
FIFA 14,Essential,Essential
Phoning Home,Mediocre,Good
The Walking Dead: The Final Season,Great,Good
King Arthur: Fallen Champions,Mediocre,Mediocre
Cossacks: Back to War,Mediocre,Great
Final Fantasy IX,Essential,Great
RONIN,Good,Great
Broforce,Essential,Good
Crazy Taxi 2,Great,Essential
Fallout 3: Point Lookout,Great,Great
Toukiden 2,Good,Mediocre
Eternal Sonata,Great,Good
Heroes of Might and Magic V,Great,Great
Legends of Runeterra,Essential,Essential
Warface: Ice Breaker,Mediocre,Good
Prototype 2,Good,Great
Crimsonland,Mediocre,Good
The Elder Scrolls V: Skyrim - Hearthfire,Mediocre,Great
Slay the Spire,Essential,Great
Dex,Mediocre,Mediocre
Styx: Shards of Darkness,Good,Mediocre
Bastion,Essential,Essential
Super Mario Maker,Great,Essential
Killzone 2,Essential,Essential
The Bug Butcher,Great,Essential
Eurofighter Typhoon,Mediocre,Mediocre
Yakuza 4,Great,Essential
Sonic Adventure 2 Battle,Good,Mediocre
Burly Men at Sea,Great,Good
Rabbids Go Home,Great,Essential
Through the Woods,Mediocre,Mediocre
Fallout 76,Mediocre,Good
Prey - Mooncrash,Great,Mediocre
Lords of the Fallen,Good,Great
Star Trek: Bridge Crew,Good,Mediocre
OlliOlli,Great,Great
Natural Selection 2,Great,Great
Xenonauts,Great,Good
The Void,Great,Good
SkyDrift,Good,Mediocre
Space Hulk,Mediocre,Good
Tokyo Xanadu eX+,Good,Mediocre
LEGO Indiana Jones: The Original Adventures,Great,Great
The Legend of Zelda: Breath of the Wild,Essential,Essential
Fire Emblem Warriors,Good,Essential
GRID (2019),Good,Essential
Baba Is You,Essential,Great
Call of Juarez,Good,Essential
Need for Speed Rivals,Great,Great
Multiwinia,Good,Mediocre
>observer_,Great,Mediocre
Insurgency,Good,Great
Heavenly Sword,Great,Essential
Grand Ages: Medieval,Mediocre,Great
Watchmen: The End is Nigh,Mediocre,Mediocre
Valkyria Chronicles 4,Essential,Mediocre
Starbound,Great,Great
Sherlock Holmes: The Mystery of the Mummy,Mediocre,Good
Greedfall,Good,Mediocre
Order of Battle: World War II,Great,Great
Iron Brigade,Good,Mediocre
Muse Dash,Good,Good
Freedom Force vs. the Third Reich,Essential,Mediocre
Killing Floor,Good,Good
Need for Speed: Shift,Essential,Mediocre
Hidden Agenda,Mediocre,Essential
Yoshi's Crafted World,Great,Essential
Loki,Mediocre,Mediocre
The Final Station,Good,Great
Before the Echo,Good,Great
Sonic Generations,Great,Essential
Dungeon Siege 2,Great,Good
Dark Devotion,Good,Great
Dungeons - The Dark Lord,Good,Mediocre
Hektor,Mediocre,Mediocre
The Novelist,Mediocre,Good
FEZ,Essential,Good
Celeste,Essential,Great
Far Cry 3 - Blood Dragon,Great,Great
World of Warcraft: Legion,Essential,Essential
Day of Defeat,Great,Essential
SWAT 4,Essential,Mediocre
I Expect You To Die,Good,Mediocre
METAL GEAR SOLID V: THE PHANTOM PAIN,Essential,Great
Beijing 2008 - The Official Video Game of the Olympic Games,Mediocre,Mediocre
World War III: Black Gold,Good,Mediocre
Lost Horizon,Great,Mediocre
Neverending Nightmares,Mediocre,Mediocre
Yaga,Good,Great
FINAL FANTASY III,Mediocre,Essential
Two Worlds,Mediocre,Essential
ZONE OF THE ENDERS: The 2nd Runner - M∀RS,Good,Mediocre
Shin Megami Tensei: Persona 3,Essential,Essential
Saints Row: The Third Remastered,Good,Mediocre
XCOM 2,Essential,Great
The Getaway,Good,Essential
Scribblenauts Unlimited,Good,Mediocre
FTL: Faster Than Light,Essential,Great
Kholat,Mediocre,Good
Viridi,Mediocre,Mediocre
"Warhammer 40,000: Dawn of War II Chaos Rising",Essential,Essential
Mario Kart 8,Essential,Essential
World of Warplanes,Mediocre,Mediocre
Mosaic,Mediocre,Great
The Long Journey Home,Mediocre,Good
The Walking Dead: A New Frontier,Good,Great
Warcraft III: Reforged,Mediocre,Essential
Brigador,Good,Mediocre
Death's Gambit,Good,Good
Dead Island,Good,Mediocre
S.T.A.L.K.E.R.: Shadow of Chernobyl,Great,Good
Still Life,Good,Mediocre
Farming Simulator 15,Mediocre,Good
Space Channel 5: Part 2,Great,Great
Comanche 4,Good,Essential
Catwoman,Mediocre,Good
Mirror's Edge,Great,Good
Tron 2.0,Essential,Mediocre
Alien Breed: Impact,Mediocre,Mediocre
Knack 2,Good,Essential
Men of War,Great,Great
Bionic Dues,Good,Great
ELEX,Mediocre,Mediocre
The Book of Unwritten Tales,Great,Good
Earth 2150 Trilogy,Great,Great
Half-Life 2: Episode One,Essential,Essential
Rayman Origins,Essential,Essential
We Love Katamari,Essential,Essential
Maize,Mediocre,Mediocre
Banjo-Kazooie,Essential,Essential
Rock of Ages 2: Bigger & Boulder,Great,Good
FINAL FANTASY IV,Essential,Great
Halcyon 6: Starbase Commander,Good,Good
Brothers in Arms: Road to Hill 30,Essential,Mediocre
Sam & Max: Episode 202 - Moai Better Blues,Great,Great
SteamWorld Dig 2,Essential,Great
Has-Been Heroes,Mediocre,Mediocre
Xenoblade Chronicles 3D,Essential,Essential
Nancy Drew: The Phantom of Venice,Mediocre,Great
BioShock Infinite,Essential,Great
Lightmatter,Good,Good
Ninja Pizza Girl,Great,Great
Headlander,Good,Mediocre
Nancy Drew: The Creature of Kapu Cave,Mediocre,Great
Tiny and Big: Grandpa's Leftovers,Good,Good
Star Control: Origins,Good,Great
Lichdom: Battlemage,Mediocre,Mediocre
METAL GEAR SOLID V: GROUND ZEROES,Great,Essential
Dying Light: The Following - Enhanced Edition,Essential,Good
Fire Emblem Heroes,Good,Essential
FINAL FANTASY VIII,Essential,Essential
Cradle,Mediocre,Good
Wolcen: Lords of Mayhem,Mediocre,Mediocre
Oceanhorn 2: Knights of the Lost Realm,Mediocre,Essential
The Flame in the Flood,Good,Great
Forza Motorsport 6,Essential,Great
Ride 2,Mediocre,Mediocre
Transformers: The Game,Mediocre,Essential
Blackguards,Mediocre,Good
Wolfenstein: The Old Blood,Good,Good
Grand Theft Auto IV: Complete Edition,Essential,Mediocre
Men of War: Red Tide,Great,Mediocre
Kingdom Hearts Re:Chain of Memories,Mediocre,Essential
Sleeping Dogs,Great,Good
Fable: The Lost Chapters,Essential,Essential
King Arthur's Gold,Great,Good
The Dream Machine: Chapter 1 & 2,Good,Good
Warhammer: End Times - Vermintide,Great,Mediocre
Rico,Mediocre,Mediocre
TimeShift,Good,Great
Sonic Mania,Essential,Great
Stories Untold,Great,Mediocre
Brut@l,Mediocre,Mediocre
GoD Factory: Wingmen,Good,Good
Recettear: An Item Shop's Tale,Great,Mediocre
Moons of Madness,Mediocre,Mediocre
Prey (2006),Essential,Mediocre
Dark Souls III: The Ringed City,Essential,Great
Devil's Hunt,Mediocre,Mediocre
Avadon: The Black Fortress,Good,Great
Dark Souls III,Essential,Essential
Space Hack,Mediocre,Mediocre
Cat Quest II,Great,Good
System Shock,Essential,Essential
Shattered Haven,Mediocre,Mediocre
Control,Essential,Essential
Steel Storm: Burning Retribution,Mediocre,Mediocre
Trine 2: Complete Story,Essential,Great
TurnOn,Mediocre,Good
Action Henk,Good,Mediocre
Jump Force,Mediocre,Mediocre
Evil Genius,Good,Great
Untitled Goose Game,Great,Good
Ori and the Blind Forest: Definitive Edition,Essential,Essential
LocoRoco,Essential,Essential
UNCHARTED: Drake's Fortune,Essential,Essential
Tomb Raider: Underworld,Great,Essential
Legacy of Kain: Soul Reaver 2,Great,Great
Thief II: The Metal Age,Essential,Essential
Kraven Manor,Mediocre,Mediocre
Knights And Bikes,Great,Good
Tom Clancy's Rainbow Six 3 Gold,Essential,Great
The Infectious Madness of Doctor Dekker,Great,Mediocre
DmC: Devil May Cry: Definitive Edition,Essential,Essential
Redeemer,Mediocre,Good
The Inner World,Good,Good
Tiny Troopers,Mediocre,Mediocre
Baldur's Gate: Enhanced Edition,Great,Great
Rome: Total War - Collection,Essential,Essential
Dark Void,Mediocre,Mediocre
Onimusha: Warlords,Essential,Good
LEGO Batman,Great,Great
The Count Lucanor,Great,Good
Burnout Revenge,Essential,Essential
Chuchel,Great,Good
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",Great,Great
Feudal Alloy,Good,Great
The Book of Unwritten Tales 2,Great,Good
Spate,Mediocre,Mediocre
Lords of Xulima,Good,Good
God Eater 3,Good,Good
Hawken,Good,Good
Fade to Silence,Mediocre,Mediocre
Pacific Storm Allies,Mediocre,Mediocre
Destiny 2: Shadowkeep,Good,Mediocre
Deus Ex: Human Revolution - Director's Cut,Essential,Essential
FAR: Lone Sails,Essential,Mediocre
Uurnog Uurnlimited,Good,Good
Need for Speed Payback,Mediocre,Essential
Kathy Rain,Great,Good
God of War (2005),Essential,Essential
LEGO Batman 3: Beyond Gotham,Good,Great
Just Cause 4,Mediocre,Good
Pinball FX2,Essential,Great
BloodRayne 2,Mediocre,Mediocre
Gran Turismo 4,Essential,Essential
Everything,Great,Good
The Legend of Zelda: A Link Between Worlds,Essential,Essential
Shadowgrounds,Good,Mediocre
Sang-Froid - Tales of Werewolves,Great,Good
STAR OCEAN: INTEGRITY AND FAITHLESSNESS,Mediocre,Essential
Splice,Good,Great
RUINER,Great,Great
Army Men RTS,Mediocre,Mediocre
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,Essential,Great
Duskers,Essential,Good
Terrian Saga: KR-17,Essential,Good
The Sexy Brutale,Essential,Good
The Walking Dead: Season 1,Essential,Great
Firefall,Mediocre,Mediocre
Planetary Annihilation,Mediocre,Great
Sonic Advance,Essential,Essential
Predator: Hunting Grounds,Mediocre,Mediocre
Battlefleet Gothic: Armada 2,Great,Good
Marc Ecko's Getting Up: Contents Under Pressure,Mediocre,Mediocre
X-Men Arcade,Mediocre,Essential
Kingdoms and Castles,Good,Good
Battlefield: Bad Company 2 - Vietnam,Essential,Great
Lara Croft and the Guardian of Light,Great,Mediocre
Hostile Waters: Antaeus Rising,Great,Mediocre
Mario & Luigi: Partners in Time,Essential,Essential
Blocks That Matter,Good,Good
NaissanceE,Mediocre,Good
Metroid Prime,Essential,Essential
Heat Signature,Great,Good
Her Majesty's SPIFFING,Mediocre,Good
Rogue Stormers,Mediocre,Mediocre
FlatOut 4: Total Insanity,Mediocre,Mediocre
Tidalis,Good,Mediocre
Star Wars: Battlefront,Good,Essential
Wargame: European Escalation,Great,Great
Overcooked! 2,Great,Good
Gunpoint,Essential,Great
Sacred,Good,Mediocre
Fallout 4: Wasteland Workshop,Mediocre,Mediocre
Phoenix Wright: Ace Attorney - Dual Destinies,Essential,Great
Two Worlds II,Good,Great
Forza Horizon 3,Essential,Essential
Disciples II: Rise of the Elves,Great,Great
The Crew,Good,Essential
Patrician III,Good,Mediocre
Resident Evil 3,Great,Essential
Uncharted 4: A Thief’s End,Essential,Essential
Yesterday Origins,Good,Mediocre
Crowntakers,Good,Good
Dementium II HD,Mediocre,Mediocre
Slime Rancher,Great,Good
The Red Strings Club,Great,Great
Valkyrie Profile,Great,Essential
Stronghold HD,Great,Great
Medieval II: Total War,Essential,Essential
Nancy Drew: Legend of the Crystal Skull,Great,Great
F1 2010,Essential,Mediocre
Outer Wilds,Essential,Mediocre
Gray Matter,Good,Good
Nether: Resurrected,Mediocre,Mediocre
EyeToy: Play,Great,Essential
Battlefleet Gothic: Armada,Great,Great
RIFT,Essential,Mediocre
Zenith,Mediocre,Good
Windforge,Mediocre,Good
JumpJet Rex,Good,Essential
The Witcher 3: Game of the Year,Essential,Essential
Jet Li: Rise to Honor,Mediocre,Essential
Zombie Driver,Mediocre,Essential
Wargame: Red Dragon,Great,Great
Stick it to The Man!,Essential,Good
Fallout 4,Essential,Great
Black Mirror II,Good,Good
Titan Quest: Immortal Throne,Great,Mediocre
ROME: Total War,Essential,Essential
Rocksmith,Great,Good
Takedown: Red Sabre,Mediocre,Good
Age of Empires II HD,Mediocre,Essential
Drakensang,Good,Essential
LEGO Jurassic World,Good,Good
World of Warcraft: Cataclysm,Essential,Essential
F1 2014,Mediocre,Mediocre
Avernum: Escape From the Pit,Good,Great
Baldur's Gate II: Shadows of Amn,Essential,Essential
Hunt: Showdown,Great,Mediocre
FlatOut 2,Good,Great
Bad Day L.A.,Mediocre,Mediocre
Total War: Shogun 2 - Fall of the Samurai,Essential,Great
Platformines,Mediocre,Mediocre
Shaun White Snowboarding,Mediocre,Mediocre
STAR WARS Knights of the Old Republic II - The Sith Lords,Essential,Essential
Fallout 4 VR,Great,Mediocre
Redshirt,Mediocre,Good
Forts,Good,Good
FINAL FANTASY XV: EPISODE GLADIOLUS,Mediocre,Mediocre
Star Conflict,Good,Mediocre
Sekiro: Shadows Die Twice,Essential,Great
War for the Overworld,Mediocre,Good
Blade Symphony,Good,Good
Kingdom: Classic,Good,Great
Kid Icarus: Uprising,Essential,Essential
Minimum,Mediocre,Good
Crazy Machines 2,Good,Mediocre
Teslagrad,Great,Good
Conflict: Desert Storm 2 - Back to Baghdad,Mediocre,Mediocre
Call of Duty 2,Essential,Essential
The Legend of Zelda: Ocarina of Time,Essential,Essential
Sunless Skies,Essential,Great
Cat Quest,Great,Mediocre
Murdered: Soul Suspect,Mediocre,Mediocre
Ys SEVEN,Great,Mediocre
Secrets of Rætikon,Mediocre,Great
Sherlock Holmes: The Silver Earring,Mediocre,Good
Frozen Synapse Prime,Essential,Great
Alien: Isolation,Great,Great
The Golf Club 2,Good,Good
They Are Billions,Good,Mediocre
Mario Tennis Aces,Good,Essential
Thronebreaker: The Witcher Tales,Essential,Good
Cave Story+,Essential,Essential
Bionic Commando,Mediocre,Good
Shin Megami Tensei: Strange Journey,Great,Essential
Company of Heroes: Opposing Fronts,Essential,Good
MISSING: An Interactive Thriller - Episode One,Mediocre,Mediocre
Jagged Alliance - Back in Action,Mediocre,Good
Sudden Strike 4,Great,Great
Wolfenstein 2: The New Colossus,Essential,Great
Unreal 2: The Awakening,Good,Mediocre
For Honor,Good,Mediocre
Citizens of Earth,Mediocre,Good
Ninja Gaiden (2004),Essential,Essential
Five Nights at Freddy's 3,Mediocre,Mediocre
There Came an Echo,Mediocre,Mediocre
No More Heroes,Essential,Essential
FIFA 20,Mediocre,Essential
Dragon Ball Z: Budokai Tenkaichi,Good,Essential
Dead Rising 2: Off the Record,Mediocre,Mediocre
A Golden Wake,Mediocre,Mediocre
UFO: Afterlight,Good,Mediocre
The Messenger (2018),Essential,Good
King Arthur II: The Role-Playing Wargame,Mediocre,Mediocre
Small Radios Big Televisions,Mediocre,Good
Punch Club,Good,Great
RoboBlitz,Great,Mediocre
The Outer Worlds,Great,Good
Minecraft,Essential,Good
Jet Set Radio,Essential,Essential
They Bleed Pixels,Good,Great
MotoGP 14,Good,Mediocre
Closure,Great,Great
Etherlords II,Great,Great
Full Spectrum Warrior: Ten Hammers,Good,Great
BattleBlock Theater,Essential,Essential
Foul Play,Mediocre,Good
Batman: The Enemy Within,Mediocre,Mediocre
SHIFT 2 UNLEASHED,Essential,Essential
LEGO The Lord of the Rings,Great,Good
1001 Spikes,Great,Essential
Braid,Essential,Essential
The Elder Scrolls Online,Good,Essential
Sid Meier's Starships,Mediocre,Good
Sid Meier's Civilization V,Essential,Essential
Slender: The Arrival,Mediocre,Mediocre
Thomas Was Alone,Great,Great
Dragon Age: Origins Awakening,Great,Essential
MDK 2,Essential,Mediocre
Rollers of the Realm,Mediocre,Mediocre
Persona 4 Arena,Essential,Essential
Impossible Creatures,Good,Essential
Splatoon 2: Octo Expansion,Great,Essential
Halo: Combat Evolved Anniversary,Great,Essential
Contagion,Mediocre,Mediocre
Deus Ex 2: Invisible War,Great,Essential
Ghostbusters: The Video Game Remastered,Mediocre,Mediocre
Darwinia,Essential,Good
NecroVision,Mediocre,Mediocre
Hard West,Good,Essential
Portal 2,Essential,Good
Mars: War Logs,Mediocre,Mediocre
Grand Theft Auto: Liberty City Stories,Great,Essential
Endless Space 2,Great,Great
Bejeweled 2,Good,Great
Hand of Fate,Great,Mediocre
Override: Mech City Brawl,Mediocre,Mediocre
Aurion: Legacy of the Kori-Odan,Mediocre,Mediocre
Doki Doki Literature Club!,Great,Great
Halo 2,Essential,Mediocre
Tearaway Unfolded,Great,Essential
Ember,Good,Great
The Marvellous Miss Take,Mediocre,Mediocre
James Bond 007: Nightfire (2002),Mediocre,Mediocre
Pacific Storm,Mediocre,Mediocre
Bloodline Champions,Great,Mediocre
World of Warcraft: Battle for Azeroth,Great,Essential
0RBITALIS,Good,Good
inMomentum,Mediocre,Good
Brink,Good,Great
Shadowgrounds Survivor,Great,Mediocre
Limbo,Essential,Good
Dishonored: Death of the Outsider,Essential,Essential
Worms Reloaded,Great,Good
Age of Empires,Essential,Essential
Atlas Reactor,Great,Good
Return Of The Obra Dinn,Essential,Mediocre
Skies of Arcadia,Essential,Essential
Destiny 2: Curse of Osiris,Mediocre,Essential
Ys Origin,Good,Great
GUN,Good,Essential
Desktop Dungeons,Great,Great
Slain: Back from Hell,Good,Essential
Konung 2,Mediocre,Mediocre
Sid Meier's Pirates!,Essential,Mediocre
Assassin's Creed: Bloodlines,Mediocre,Essential
Crimzon Clover: World Ignition,Essential,Essential
The Chronicles of Riddick: Assault on Dark Athena,Great,Essential
God Mode,Mediocre,Mediocre
Long Live The Queen,Mediocre,Mediocre
Ground Control Anthology,Essential,Mediocre
The Fidelio Incident,Mediocre,Good
Rise of the Tomb Raider,Essential,Great
Diluvion,Mediocre,Mediocre
Deus Ex: Mankind Divided,Essential,Good
Fly'N,Great,Good
Divinity: Original Sin,Essential,Good
DiRT Rally,Essential,Essential
Sherlock Holmes versus Jack the Ripper,Good,Good
CODE VEIN,Good,Mediocre
Lume,Mediocre,Mediocre
Far Cry 3,Essential,Great
Arx Fatalis,Great,Essential
Bohemian Killing,Mediocre,Good
Anomaly Defenders,Good,Good
The Jackbox Party Pack 6,Good,Great
ZOMBI,Mediocre,Mediocre
Fire Emblem Fates: Birthright,Essential,Essential
Battlezone,Mediocre,Mediocre
Call of Duty: WWII,Great,Mediocre
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Good,Great
Shu,Essential,Good
Poker Night 2,Good,Great
Call of Duty: Modern Warfare 3,Essential,Great
Tales of Vesperia: Definitive Edition,Great,Essential
Back to the Future: The Game,Good,Good
SUPERHOT VR,Essential,Good
Tomb Raider: Definitive Edition,Essential,Essential
Police Stories,Good,Essential
Lara Croft and the Temple of Osiris,Good,Mediocre
Test Drive Unlimited 2,Good,Essential
Resident Evil 7: Biohazard,Essential,Great
Gemini: Heroes Reborn,Mediocre,Mediocre
PixelJunk Monsters Ultimate,Good,Good
League of Legends,Great,Essential
Imperator: Rome,Good,Good
Clandestine,Mediocre,Mediocre
Total War: ROME II - Emperor Edition,Good,Great
SWORD ART ONLINE: Fatal Bullet,Mediocre,Mediocre
Rogue Galaxy,Essential,Essential
Audiosurf 2,Good,Great
STAR WARS: The Force Unleashed II,Mediocre,Mediocre
Insurgency: Sandstorm,Great,Great
Fire Emblem: Shadow Dragon,Great,Essential
Hearts of Iron 2 Complete,Essential,Mediocre
Clutch,Mediocre,Mediocre
World War Z (2019),Good,Mediocre
Soldiers: Heroes of World War II,Great,Mediocre
Arizona Sunshine,Great,Mediocre
Puzzle Agent 2,Mediocre,Good
Assassin's Creed Unity,Good,Essential
FINAL FANTASY TYPE-0 HD,Mediocre,Great
F1 2018,Essential,Essential
Fallout 4 - Far Harbor,Great,Mediocre
STEINS;GATE ELITE,Essential,Great
Helldorado,Mediocre,Mediocre
GoldenEye 007 (1997),Essential,Essential
Journey,Essential,Essential
POSTAL 2,Mediocre,Mediocre
Grand Theft Auto IV: The Ballad of Gay Tony,Essential,Mediocre
King's Bounty: Armored Princess,Great,Good
Tenchu Z,Mediocre,Essential
Neverwinter,Good,Essential
Offspring Fling!,Great,Great
BloodRayne,Mediocre,Mediocre
A Game of Dwarves,Mediocre,Good
White Night,Mediocre,Mediocre
RAGE 2,Good,Great
Devil May Cry 3: Dante's Awakening,Great,Essential
Octopath Traveler,Great,Great
007 Legends,Mediocre,Mediocre
Sacrifice,Essential,Great
Life is Feudal: Your Own,Mediocre,Mediocre
Gears of War,Essential,Mediocre
Elemental: Fallen Enchantress,Great,Mediocre
Vampire: The Masquerade - Redemption,Good,Good
Bulletstorm,Essential,Great
Kairo,Good,Mediocre
Cold Fear,Mediocre,Mediocre
King's Bounty: Warriors of the North,Good,Good
Lords of the Realm II,Great,Great
Metal Gear Solid 3: Snake Eater,Essential,Essential
Kirby: Canvas Curse,Essential,Essential
Crazy Machines 3,Good,Mediocre
Shantae: Half-Genie Hero,Good,Great
Resident Evil Code: Veronica,Good,Essential
LEGO The Hobbit,Good,Good
Monster Prom,Good,Mediocre
ARMS,Great,Essential
Act of War: Direct Action,Great,Mediocre
Letter Quest: Grimm's Journey,Good,Good
Made Man,Mediocre,Mediocre
Budget Cuts,Good,Mediocre
Verdun,Good,Great
Perception,Mediocre,Mediocre
Evoland 2,Good,Great
Mantis Burn Racing,Good,Great
Gravity Rush 2,Great,Essential
Forza Horizon 4 LEGO Speed Champions,Great,Essential
Astebreed,Essential,Great
Valdis Story: Abyssal City,Essential,Great
Left 4 Dead 2,Essential,Mediocre
Ice Age 3 Dawn of the Dinosaurs,Mediocre,Mediocre
SOMA,Essential,Good
Danger Zone,Mediocre,Mediocre
Lovely Planet,Mediocre,Great
